,SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,FeO,Fe2O3,dehyd_tot
23C-06B,40.00963163585479,0.03355808902147603,1.401050216646624,0.1174533115751661,34.15374510160723,0.13423235608590411,0.041947611276845036,0.016779044510738014,0.008389522255369007,13.557467964676315,0.9480160148566976,6.975197096309178,83.84
23C-06C,45.22188496345834,0.008676493661446344,0.7288254675614929,0.13014740492169516,32.71905759731416,0.06941194929157075,0.03470597464578538,0.008676493661446344,0.008676493661446344,11.791354885905582,0.6941194929157075,6.785817668906881,86.41
23C-07A,38.964058301319014,0.04323575044531626,1.7813129183470298,0.11241295115782227,35.66949411738591,0.19888445204845479,0.04323575044531626,0.00864715008906325,0.00864715008906325,12.09736297459949,1.3489554138938673,7.831116044779127,86.01
23C-07B,39.40844106834063,0.025717929781383923,1.4316314244970383,0.08572643260461309,36.08225548328165,0.06858114608369047,0.042863216302306544,0.008572643260461308,0.017145286520922617,12.64464880918043,0.7372473203996724,7.341818048927629,85.25
23C-M02,39.91547758878496,0.008532594610685115,1.4590736784271543,0.08532594610685114,35.17988757985472,0.05119556766411068,0.07679335149616602,0.008532594610685115,0.01706518922137023,12.867152672913152,0.7338031365189197,7.384312772704365,84.92
