Mineral,Si,Ti,Mn,Cr,Ni,O,Mg,Fe,Comment
vein,0.0529,-0.0063,3.6406,0.0052,0.6066,25.075,0.3179,66.2599,23C-M01-ox19
srp,0.1325,0.0005,2.301,0.0032,0.5059,25.154,0.5091,66.2628,23C-M01-ox20
srp,0.0067,0.077,0.035,0.1306,0.6509,24.3051,0.4007,69.7814,23C-M01-ox21
srp,-0.0053,0.138,0.1498,4.6843,0.7539,24.3135,1.1977,64.3958,23C-M08-ox1
srp,0.0015,0.1346,0.1324,4.6226,0.7706,24.1823,1.1885,64.1509,23C-M08-ox2
srp,-0.0043,0.1175,0.1105,4.5401,0.739,24.3644,0.9168,64.9799,23C-M08-ox3
srp,0.0137,0.1385,0.1496,4.7864,0.758,24.3812,1.2789,64.3803,23C-M08-ox4
srp,0.0044,0.1555,0.1533,4.7922,0.74,24.9403,1.3593,63.9067,23C-M08-ox5
srp,-0.0064,0.1572,0.1287,4.6656,0.7679,24.5378,1.3627,63.5917,23C-M08-ox6
srp,0.0127,0.1506,0.1243,4.7396,0.7888,24.8111,1.4452,63.7486,23C-M08-ox7
srp,0.0098,0.1392,0.1312,4.7112,0.7641,24.3744,1.4434,63.8776,23C-M08-ox8
srp,0.0066,0.1386,0.1086,4.6535,0.7359,24.1134,1.4555,63.9125,23C-M08-ox9
srp,0.0177,0.139,0.1234,4.8668,0.7516,24.5506,1.1793,63.9354,23C-M08-ox10
srp,0.0027,0.1412,0.1423,4.4942,0.7755,24.1358,1.3012,64.1433,23C-M08-ox11
srp,0.0013,0.1636,0.1452,4.3676,0.7851,24.3528,1.3606,63.2246,23C-M08-ox12
srp,0.0142,0.1583,0.1507,4.3694,0.7984,24.0967,1.5225,63.4459,23C-M08-ox13
early-clc,0.0048,0.1593,0.1208,4.6563,0.7346,24.45,1.8836,63.7458,23C-M08-ox14
early-clc,0.0193,0.1682,0.1505,4.6517,0.7269,24.361,1.8349,63.5392,23C-M08-ox15
early-clc,0.003,0.1675,0.138,4.7508,0.7848,24.5221,1.8196,63.7761,23C-M08-ox16
early-clc,0.0097,0.1733,0.1718,4.7512,0.7488,24.538,1.7995,63.596,23C-M08-ox17
early-clc,0.0554,0.1876,0.1721,4.4388,0.7644,23.5186,1.9425,63.0897,23C-M08-ox18
early-clc,0.0052,0.1722,0.1449,4.593,0.7373,24.9825,1.8467,63.5626,23C-M08-ox19
early-clc,-0.0033,0.151,0.1563,4.9531,0.736,24.9368,1.8743,62.9299,23C-M08-ox20
srp,0.0011,0.1304,0.1102,4.5141,0.7692,23.991,1.3637,63.756,23C-M08-ox21
srp,0.0129,0.1288,0.1069,4.5923,0.854,24.3653,1.2008,64.3791,23C-M08-ox22
srp,0.1403,4.9178,0.0727,2.5007,0.0434,25.1739,0.4325,62.2677,23C-M08-ox23
srp,0.026,4.8287,0.0136,2.653,0.0677,26.8372,0.2676,61.1487,23C-M08-ox24
srp,0.4895,5.3379,0.1831,2.6688,0.0565,26.4843,0.8803,59.418,23C-M08-ox25
srp,0.0263,5.2223,0.041,2.4292,0.06,25.2439,0.2677,61.2823,23C-M08-ox26
srp,0.0033,0.1332,0.1041,4.5996,0.8541,23.75,1.0406,64.6316,23C-M08-ox27
srp,0.006,0.1472,0.1339,4.4734,0.7996,24.2856,1.4642,63.5777,23C-M08-ox28
srp,0.0133,0.1519,0.1335,4.1806,0.7552,24.0486,1.3299,62.9989,23C-M08-ox29
srp,0.01,0.1698,0.1585,4.4065,0.8639,24.4335,1.4189,63.247,23C-M08-ox30
